id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
617,OPEL,"Grandland 1.2","Grandland 1.2 Turbo Hybrid 136 ch e-DCT6 GS",11400402,LORIENT,19634,,20300.0,sold,https://vpauto.fr/vehicule/e9600e4044/opel-grandland-12-turbo-hybrid-136-ch-e-dct6-gs
742,OPEL,"INSIGNIA SPORTS","Insignia Sports Tourer 1.5 Diesel 122 ch BVA8 Edition Business",11396439,LORIENT,149542,,7600.0,sold,https://vpauto.fr/vehicule/fadbda9544/opel-insignia-sports-tourer-15-diesel-122-ch-bva8-edition-business
729,OPEL,"Mokka Electrique","Mokka Electrique 136 ch & Batterie 50 kWh Ultimate Vert médium métal / Toit",11404585,LORIENT,100011,,12600.0,sold,https://vpauto.fr/vehicule/4673df4644/opel-mokka-electrique-136-ch-batterie-50-kwh-ultimate
504,OPEL,"VIVARO FGN","VIVARO FGN L2 2.0 DIESEL 145 CH PACK BUSINESS",11399242,LORIENT,91118,,,unsold,https://vpauto.fr/vehicule/46ad938e44/opel-vivaro-fgn-l2-20-diesel-145-ch-pack-business
519,OPEL,"VIVARO FGN","VIVARO FGN L2 2.0 DIESEL 120 CH BVA8 PACK CLIM",11393673,LORIENT,162842,11000.0,,unsold,https://vpauto.fr/vehicule/8ecf803444/opel-vivaro-fgn-l2-20-diesel-120-ch-bva8-pack-clim
716,PEUGEOT,"108 VTi","108 VTi 72ch S&S BVM5 Like",11401656,LORIENT,75589,,6700.0,sold,https://vpauto.fr/vehicule/63f5e58c44/peugeot-108-vti-72ch-ss-bvm5-like
1307,PEUGEOT,"2008 2008","2008 PureTech 130 S&S BVM6 Active Pack",11400110,LORIENT,127812,,8700.0,sold,https://vpauto.fr/vehicule/658b518144/peugeot-2008-puretech-130-ss-bvm6-active-pack
1838,PEUGEOT,"2008 BlueHDi","2008 BlueHDi 130 S&S EAT8 Active Business",,LORIENT,104410,,,available,https://vpauto.fr/vehicule/53249d1e44/peugeot-2008-bluehdi-130-ss-eat8-allure
289,PEUGEOT,"2008 BlueHDi","2008 BlueHDi 130 S&S EAT8 Active Business",11395009,LORIENT,114168,11300.0,,unsold,https://vpauto.fr/vehicule/90112e9c44/peugeot-2008-bluehdi-130-ss-eat8-active-business
345,PEUGEOT,"2008 BlueHDi","2008 BlueHDi 110 S&S BVM6 Allure",11393679,LORIENT,121678,,11700.0,sold,https://vpauto.fr/vehicule/33e4afe944/peugeot-2008-bluehdi-110-ss-bvm6-allure
